id	interarrival	mongrel	database	transfer	total
1	1.0	0	0.00000	0.0007	0.00070
2	63.0	0.15365	0.77572	0.05853	0.98790
3	11.0	0.05392	0.55441	0.04627	0.65460
4	21.0	0.35427	0.57708	0.00978999999999997	0.94114
5	1.0	0	0.00000	0.00067	0.00067
6	17.0	0.14932	0.65946	0.1002	0.90898
7	2.0	0	0.00000	0.00065	0.00065
8	7.0	0.29010	0.60976	0.12057	1.02043
9	0.0	0.05897	0.58084	0.09327	0.73308
10	1.0	0	0.00000	0.00067	0.00067
11	0.0	0	0.00000	0.00068	0.00068
12	1.0	0	0.00000	0.00078	0.00078
13	76.0	0.04831	0.52898	0.02425	0.60154
14	20.0	0.18785	0.52777	0.0199400000000001	0.73556
15	0.0	0	0.00000	0.00062	0.00062
16	21.0	0.08077	0.53664	0.0377299999999999	0.65514
17	12.0	0.09171	0.53612	0.02313	0.65096
18	3.0	0.09559	0.57054	0.0238699999999999	0.69000
19	9.0	0.09206	0.56652	0.0233399999999999	0.68192
20	45.0	0.16843	0.55980	0.02619	0.75442
21	29.0	0	0.00054	0.00017	0.00071
22	24.0	0.20348	0.57694	0.045	0.82542
23	45.0	0.11292	0.55811	0.02913	0.70016
24	3.0	0.22915	0.56594	0.0298700000000001	0.82496
25	75.0	0.22466	0.57574	0.03108	0.83148
26	14.0	0.04949	0.57559	0.15902	0.78410
27	49.0	0.04597	0.53525	0.0259600000000001	0.60718
28	78.0	0.06183	0.55822	0.0271699999999999	0.64722
29	11.0	0.31477	0.70759	0.19632	1.21868
30	28.0	0.20474	0.56563	0.03888	0.80925
31	20.0	0.05105	0.55168	0.02886	0.63159
32	17.0	0.03535	0.53013	0.0259200000000001	0.59140
33	42.0	0	0.00000	0.00064	0.00064
34	103.0	0.05842	0.54456	0.0932399999999999	0.69622
35	2.0	0	0.00000	0.00067	0.00067
36	88.0	0.05310	0.55021	0.0389699999999999	0.64228
37	79.0	0.06510	0.55493	0.0252699999999999	0.64530
38	34.0	0.08429	0.57040	0.0289700000000001	0.68366
39	3.0	0.08863	0.55160	0.0293800000000001	0.66961
40	3.0	0.30015	0.57167	0.0515100000000001	0.92333
41	11.0	0.08396	0.57491	0.13768	0.79655
42	30.0	0.05849	0.55390	0.03491	0.64730
43	9.0	0.32884	0.60535	0.12114	1.05533
44	5.0	0.32967	0.62324	0.11706	1.06997
45	17.0	0.04949	0.56299	0.0238499999999999	0.63633
46	37.0	0.21686	0.58245	0.0250899999999999	0.82440
47	3.0	0	0.00000	0.00068	0.00068
48	5.0	0.17650	0.53024	0.0231899999999999	0.72993
49	2.0	0.11805	0.59468	0.04128	0.75401
50	5.0	0.11679	0.54681	0.0405500000000001	0.70415
51	10.0	0.19204	0.57427	0.11401	0.88032
52	3.0	0.31803	0.56599	0.11721	1.00123
53	20.0	0.03311	0.54383	0.02488	0.60182
54	104.0	0.37405	0.69328	0.30915	1.37648
55	14.0	0.09102	0.54040	0.03769	0.66911
56	49.0	0.04926	0.55297	0.0366400000000001	0.63887
57	25.0	0.32929	0.66284	0.12339	1.11552
58	2.0	0.40474	0.77502	0.13111	1.31087
59	3.0	0.98552	1.04536	1.61009	3.64097
60	5.0	0.26216	0.62189	0.05826	0.94231
61	9.0	1.14071	0.84866	1.65328	3.64265
62	26.0	0.05847	0.68871	0.0338499999999999	0.78103
63	38.0	0.10845	0.57498	0.0891399999999999	0.77257
64	32.0	0.35900	0.68758	0.12381	1.17039
65	3.0	0.10429	0.56532	0.0623699999999999	0.73198
66	5.0	0.06020	0.99220	0.03054	1.08294
67	0.0	0.11357	0.59840	0.0640499999999999	0.77602
68	19.0	0.09095	0.57523	0.02777	0.69395
69	2.0	0.08773	0.56697	0.12789	0.78259
70	1.0	0	0.00000	0.00067	0.00067
71	15.0	0.40939	0.71708	0.31464	1.44111
72	3.0	0.40249	0.70192	0.31511	1.41952
73	0.0	0.04988	0.57762	0.0239299999999999	0.65143
74	68.0	0.20978	0.59696	0.11364	0.92038
75	7.0	0.32348	0.59109	0.11651	1.03108
76	6.0	0.30309	0.57985	0.0402	0.92314
77	3.0	0.11655	0.71788	0.0406	0.87503
78	25.0	0	0.00000	0.00063	0.00063
79	5.0	0.17110	0.57848	0.0609	0.81048
80	45.0	0.27076	0.61082	0.26611	1.14769
81	7.0	0.26228	0.56829	0.04471	0.87528
82	31.0	0.04885	1.04992	0.0321799999999999	1.13095
83	2.0	0	0.00000	0.00064	0.00064
84	12.0	0.33716	1.63265	0.00822000000000012	1.97803
85	2.0	0.37000	0.88425	0.00966000000000011	1.26391
86	10.0	0.21071	0.62583	0.0410799999999999	0.87762
87	11.0	0.05172	0.62339	0.02722	0.70233
88	39.0	0.03341	0.55891	0.0290799999999999	0.62140
89	40.0	1.08529	0.87251	1.68508	3.64288
90	2.0	0.23520	0.65892	0.0506000000000001	0.94472
91	9.0	1.05617	0.92344	1.69041	3.67002
92	31.0	0.16908	0.70593	0.0428400000000001	0.91785
93	38.0	0.05830	0.55720	0.0274599999999999	0.64296
